,random_forest,xgboost,logistic_regression_coef
alcohol,0.206841079027064,0.34361935,0.6385973946700414
density,0.11848510685157085,0.040587027,-1.303324038997224
chlorides,0.08148803236809475,0.0443008,-0.2247549073039012
volatile_acidity,0.07983051223723765,0.08303252,-0.6095697794246352
free_so2_ratio,0.0727569989446114,0.057716917,0.39118866841826355
total_sulfur_dioxide,0.07191503190963887,0.054226756,-0.06008482029961362
citric_acid,0.06993441847923051,0.05004915,0.030690558703537714
sulphates,0.06645469048742697,0.05938923,0.38637737470306494
residual_sugar,0.06205086378479681,0.047817577,0.9400378525611314
pH,0.05897206789354104,0.057244215,0.5126171687939224
free_sulfur_dioxide,0.05500086277194577,0.04883676,-0.13689882360112327
fixed_acidity,0.05363730717601652,0.05038234,0.7692657421097823
wine_type_white,0.0026330280688249192,0.062797375,0.023494648698860268
